"wpsh-9","wpsh-10","wpsh-11","wpsh-12","wpsh-1","wpsh-2","wpsh-3","wpsh-4","wpsh-5","iod-9","iod-10","iod-11","iod-12","iod-1","iod-2","iod-3","iod-4","iod-5","pdo-9","pdo-10","pdo-11","pdo-12","pdo-1","pdo-2","pdo-3","pdo-4","pdo-5","nin3-9","nin3-10","nin3-11","nin3-12","nin3-1","nin3-2","nin3-3","nin3-4","nin3-5","seu-9","seu-10","seu-11","seu-12","seu-1","seu-2","seu-3","seu-4","seu-5","nao-9","nao-10","nao-11","nao-12","nao-1","nao-2","nao-3","nao-4","nao-5","snao-9","snao-10","snao-11","snao-12","snao-1","snao-2","snao-3","snao-4","snao-5","scand-9","scand-10","scand-11","scand-12","scand-1","scand-2","scand-3","scand-4","scand-5","ao-9","ao-10","ao-11","ao-12","ao-1","ao-2","ao-3","ao-4","ao-5","eawr-9","eawr-10","eawr-11","eawr-12","eawr-1","eawr-2","eawr-3","eawr-4","eawr-5","peu-9","peu-10","peu-11","peu-12","peu-1","peu-2","peu-3","peu-4","peu-5","cgt-9","cgt-10","cgt-11","cgt-12","cgt-1","cgt-2","cgt-3","cgt-4","cgt-5","pstratu-9","pstratu-10","pstratu-11","pstratu-12","pstratu-1","pstratu-2","pstratu-3","pstratu-4","pstratu-5","mjopc1a-9","mjopc1a-10","mjopc1a-11","mjopc1a-12","mjopc1a-1","mjopc1a-2","mjopc1a-3","mjopc1a-4","mjopc1a-5","mjopc1b-9","mjopc1b-10","mjopc1b-11","mjopc1b-12","mjopc1b-1","mjopc1b-2","mjopc1b-3","mjopc1b-4","mjopc1b-5","amo-9","amo-10","amo-11","amo-12","amo-1","amo-2","amo-3","amo-4","amo-5"
"1981"," 14647.721000000"," 14855.219000000"," 14874.187500000"," 14754.291000000"," 14840.378000000"," 14823.920000000"," 14974.418000000"," 14865.944000000"," 14733.788000000","    -0.639000000","    -0.498000000","    -0.294000000","    -0.413000000","    -0.136000000","     0.056000000","     0.127000000","     0.168000000","     0.062000000","     0.083000000","     0.963100000","     0.944900000","     0.695300000","     1.244600000","     1.385200000","     1.447000000","     1.333700000","     1.511100000","    -0.065538400","    -0.270643000","    -0.001897810","     0.183214000","    -0.714697000","    -0.615290000","    -0.210327000","    -0.281755000","    -0.164228000","     1.039828000","     7.150544000","    18.660640000","    22.882190000","    25.823310000","    27.811010000","    27.949730000","    20.686650000","    12.384190000","     1.720000000","    -0.870000000","    -2.060000000","     1.550000000","     1.000000000","     1.040000000","     0.010000000","    -3.040000000","     0.050000000","    -0.032075680","    -1.393374000","    -0.160477100","     0.176481200","     0.812905600","     1.065522000","    -2.382335000","     1.772258000","    -1.038022000","    -0.140000000","    -1.170000000","    -0.400000000","    -1.510000000","    -0.750000000","     0.590000000","    -0.870000000","    -1.340000000","     1.420000000","     0.313000000","    -0.521000000","    -1.361000000","    -0.057000000","    -0.116000000","    -0.332000000","    -1.645000000","     0.430000000","     0.180000000","    -0.040000000","     0.040000000","     1.350000000","    -1.170000000","     0.110000000","    -1.130000000","     0.900000000","     1.370000000","     0.070000000","    -0.020000000","    -0.110000000","     0.040000000","    -0.430000000","     1.910000000","     0.170000000","    -0.830000000","    -0.770000000","     1.300000000","120488.414538936","117751.145725719","117131.865153588","115923.673333257","114852.133627093","114771.442075172","115796.117855300","117575.032005254","119085.582425239","     9.390231427","    16.509901539","    29.935231527","    51.282358846","    51.978369497","    13.823492116","     9.569870057","    11.224530141","    -0.829711025","     0.781118919","     0.359540723","     0.438637001","     0.785394506","    -1.253409853","    -2.434656444","     1.406902819","    -1.658216511","    -0.545009579","     0.160004637","     0.379629785","     0.559376047","     0.183841427","     0.366185971","    -0.876021487","     1.295274908","    -0.584066254","     0.313585350","    -0.140000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000"
"1982"," 14724.155000000"," 14813.615000000"," 14881.970000000"," 14928.393000000"," 14844.861000000"," 14816.042000000"," 14831.945000000"," 14822.937500000"," 14803.693000000","    -0.651000000","    -0.447000000","    -0.204000000","     0.050000000","     0.209000000","     0.246000000","     0.154000000","     0.194000000","     0.302000000","     0.716000000","     0.116200000","     0.624100000","     0.647500000","     0.257600000","     0.077600000","     0.068800000","    -0.371900000","    -0.718200000","     0.008752820","     0.113277000","    -0.102978000","     0.276905000","     0.240374000","     0.058961900","    -0.077297200","     0.260466000","     0.689472000","     1.192514000","     8.577936000","    21.012300000","    27.094230000","    29.685980000","    28.257460000","    24.399520000","    16.948690000","     9.072272000","     0.270000000","    -1.060000000","     1.660000000","    -2.200000000","    -0.720000000","     2.250000000","     1.660000000","    -0.990000000","     1.100000000","    -1.731970000","    -1.504416000","     0.494572600","    -2.227660000","    -0.332473900","     0.443524600","     0.608412000","     1.501665000","    -0.442033800","    -0.060000000","    -1.350000000","    -0.690000000","    -0.470000000","    -0.770000000","     0.730000000","     0.720000000","    -1.570000000","    -0.860000000","    -1.040000000","    -1.167000000","    -0.188000000","    -1.216000000","    -0.883000000","     0.974000000","     1.074000000","     1.454000000","    -0.209000000","    -0.730000000","    -2.080000000","    -1.230000000","    -1.620000000","     0.300000000","     1.320000000","     0.750000000","    -0.290000000","     0.100000000","    -0.640000000","    -1.910000000","    -0.490000000","     0.070000000","     0.740000000","     0.100000000","    -0.390000000","     0.590000000","    -0.110000000","120350.223852648","117641.392240660","116725.613844271","115345.139624039","114414.226325960","113862.607425892","115326.681755283","117843.659482357","118934.333514362","     6.983106546","    17.608859739","    24.614041710","    23.496623993","    29.988254824","    24.652318954","    21.969939324","    -8.307124982","   -12.589439792","    -1.654115810","     0.047780708","    -1.044895009","     0.070198485","    -0.029780432","    -0.193003787","    -0.860513872","     0.283846618","     1.033346004","    -1.012120159","     0.098999945","    -0.319139226","    -0.604105717","     0.005963137","    -0.036813976","    -0.854209865","     0.133016316","    -0.886948864","    -0.160000000","    -0.170000000","    -0.170000000","    -0.170000000","    -0.170000000","    -0.170000000","    -0.170000000","    -0.160000000","    -0.160000000"
"1983"," 14697.373000000"," 14787.070000000"," 15000.438000000"," 14983.693000000"," 15086.879000000"," 14982.145000000"," 14953.988000000"," 14939.125000000"," 14837.900000000","     0.548000000","     0.783000000","     0.407000000","    -0.093000000","    -0.416000000","    -0.507000000","    -0.652000000","    -0.481000000","     0.021000000","     0.742800000","     0.360000000","    -0.210200000","     0.204400000","     0.659800000","     1.204900000","     1.811200000","     1.607400000","     1.159900000","     1.785880000","     2.340330000","     2.685380000","     3.064920000","     2.940010000","     2.492600000","     2.051100000","     1.800600000","     2.027170000","     1.464234000","    10.020390000","    20.026670000","    26.640330000","    29.214050000","    29.885650000","    24.481040000","    16.501680000","    10.935330000","     1.080000000","     0.320000000","     1.710000000","     2.640000000","     4.820000000","    -1.250000000","     1.790000000","    -1.010000000","    -0.570000000","    -0.445721900","    -0.569142800","    -0.234060800","    -0.209776200","     0.188779000","     0.816721500","     0.081178950","    -1.222900000","    -1.993090000","    -0.300000000","     1.470000000","     0.210000000","    -0.280000000","    -1.330000000","     0.470000000","    -0.520000000","     1.240000000","     1.480000000","     0.558000000","    -0.211000000","     0.661000000","     0.967000000","     1.359000000","    -1.806000000","    -0.567000000","    -0.738000000","    -0.441000000","    -0.490000000","     0.530000000","     0.160000000","     0.020000000","     1.310000000","     0.470000000","    -0.030000000","    -1.850000000","    -0.360000000","     1.160000000","    -0.190000000","    -0.980000000","    -0.810000000","    -0.790000000","     1.180000000","    -1.120000000","     0.390000000","    -0.370000000","119543.336719251","117843.572742492","116018.311873237","115269.425162927","114928.142344297","114613.495890552","114857.950639725","116767.578025691","118958.452477412","     7.604652754","    19.291326154","    35.080631955","    44.461372991","    47.020976713","    19.892527308","     6.073317630","    -1.078074066","    -4.203635760","     3.855460030","    -2.661611102","     0.961958995","    -1.116902496","    -2.862595550","    -2.429019082","     5.051636994","     2.853593072","     1.804014046","     2.123492570","    -1.750209404","     0.938815426","    -0.761772621","     1.789346983","    -1.405775655","     3.188089529","     2.071712061","    -1.220056163","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000"
"1984"," 14788.306000000"," 14886.979500000"," 14866.767000000"," 14894.839000000"," 14774.503000000"," 14744.339000000"," 14836.411000000"," 14743.719000000"," 14685.908000000","     0.037000000","    -0.128000000","    -0.220000000","    -0.031000000","    -0.158000000","    -0.069000000","    -0.022000000","     0.125000000","    -0.225000000","     0.853200000","     1.078600000","     1.339700000","     1.403400000","     1.296000000","     1.212400000","     1.558100000","     1.243900000","     1.237700000","     0.158611000","    -0.482063000","    -0.799109000","    -0.639465000","    -0.576157000","    -0.395679000","    -0.212406000","    -0.370855000","    -0.718739000","     1.597710000","     9.099037000","    19.155290000","    26.369780000","    28.104700000","    28.322110000","    24.721220000","    18.171530000","     9.545319000","    -0.650000000","     2.060000000","    -2.280000000","     0.830000000","     2.530000000","     1.730000000","    -2.120000000","     0.330000000","    -2.340000000","    -1.914225000","    -0.194283500","    -0.470347200","    -0.133281700","    -0.468023800","     1.178203000","     0.817395200","     1.221569000","     0.479079600","     0.060000000","    -1.870000000","    -1.830000000","    -1.870000000","    -0.460000000","     1.310000000","     1.460000000","     1.510000000","     0.980000000","     0.167000000","     1.369000000","    -0.688000000","     0.186000000","     0.905000000","    -0.303000000","    -2.386000000","    -0.284000000","     0.479000000","     0.930000000","     0.370000000","     1.720000000","    -0.980000000","    -2.060000000","    -1.780000000","    -2.140000000","     0.640000000","    -1.720000000","    -0.800000000","     0.420000000","     0.700000000","    -1.280000000","    -0.900000000","     0.240000000","     1.240000000","     0.780000000","     0.820000000","120850.555444316","118625.079008702","116965.540601818","115220.480797837","114495.734557231","113850.638308168","116004.027649442","116927.745753288","118329.267176111","     8.289793968","    22.021480560","    29.766046333","    41.586682720","    51.238673672","    24.496077431","    -4.979744579","     0.463800935","    -4.116149185","    -1.780334551","     1.582840530","    -0.922582061","    -0.782651834","     1.983543587","     2.006170785","    -0.011050561","    -0.208575196","    -1.749118690","    -0.963564739","     1.115439743","    -0.405117624","    -0.295390130","    -1.141348316","     1.171467012","     0.321675563","    -0.821159485","     1.003877329","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000"
"1985"," 14756.508000000"," 14682.565000000"," 14898.164000000"," 14755.963000000"," 14815.738000000"," 14657.852000000"," 14918.776000000"," 14622.101000000"," 14663.604500000","    -0.502000000","    -0.494000000","    -0.295000000","    -0.209000000","    -0.401000000","    -0.547000000","    -0.441000000","    -0.125000000","    -0.143000000","     0.684600000","     0.633400000","     0.549400000","     0.445100000","     0.791100000","     0.561800000","    -0.081400000","    -0.116400000","    -0.355100000","    -0.421658000","    -0.863674000","    -0.994038000","    -1.380050000","    -0.977467000","    -0.974838000","    -0.906496000","    -0.918344000","    -1.054210000","     0.540469000","     9.470272000","    19.986040000","    25.631650000","    31.361800000","    30.227790000","    27.931220000","    18.716650000","    11.310890000","    -1.310000000","     1.660000000","    -1.160000000","     1.520000000","    -2.870000000","    -0.240000000","     0.070000000","     0.340000000","    -2.130000000","    -0.845201300","    -0.781866300","    -1.044418000","     1.859101000","    -0.596264100","     0.409543600","     0.106140800","    -0.987721100","     0.034716110","    -0.380000000","    -0.300000000","     1.130000000","     2.840000000","     0.410000000","    -0.200000000","     1.070000000","    -0.880000000","     1.280000000","    -0.413000000","    -0.270000000","    -0.966000000","     0.446000000","    -2.806000000","    -1.440000000","     0.551000000","     0.652000000","    -0.432000000","    -0.630000000","    -0.170000000","     1.180000000","     0.060000000","    -0.340000000","     0.380000000","     0.180000000","     0.480000000","    -0.140000000","    -0.870000000","    -1.760000000","    -0.580000000","     0.600000000","     0.050000000","    -1.720000000","     1.480000000","    -0.380000000","     0.030000000","119892.641617294","117829.350622531","116445.656496298","114533.889645592","114575.732416409","115294.929295625","115550.831781820","117479.860478367","118535.144573402","     8.170988381","    18.356426977","    25.487161954","    29.197717159","     5.011400057","    20.945168614","     9.465723641","    -4.417502300","    -7.605609371","     0.866305677","    -0.763273325","     1.215637238","     1.335474669","    -1.562607408","     3.953314542","    -0.464284508","    -0.965267612","    -1.773722425","     0.643912228","    -0.196734441","     0.322257148","     0.882751099","     1.409210879","     2.685623602","    -0.099898717","    -0.982695922","     0.977427801","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.150000000","    -0.160000000"
"1986"," 14790.056000000"," 14870.713000000"," 14887.353000000"," 14840.957000000"," 14812.796000000"," 14745.913000000"," 14785.906000000"," 14862.111000000"," 14621.193000000","    -0.132000000","    -0.339000000","     0.197000000","    -0.348000000","    -0.047000000","    -0.056000000","    -0.100000000","    -0.211000000","    -0.074000000","     0.541200000","     0.478000000","    -0.404500000","     0.342400000","     1.091200000","     1.667800000","     1.963600000","     1.395000000","     1.038200000","    -0.770239000","    -0.849483000","    -0.696589000","    -0.698286000","    -0.785917000","    -0.493069000","    -0.428106000","    -0.391386000","    -0.582249000","     0.857111000","     9.484542000","    23.030270000","    28.215930000","    29.178360000","    30.019030000","    24.772620000","    17.338780000","    10.693530000","     0.000000000","     0.140000000","    -2.850000000","    -0.430000000","     1.460000000","    -4.020000000","     2.860000000","    -0.930000000","     2.160000000","    -0.542204400","     1.533367000","    -0.058224230","    -1.290542000","    -0.366141800","     0.635394600","     0.554940900","    -0.063203030","    -0.965225300","    -2.120000000","     0.370000000","     0.060000000","     0.060000000","     0.160000000","     0.940000000","     1.150000000","     0.390000000","     0.140000000","     0.114000000","     1.035000000","    -1.218000000","    -1.948000000","    -0.568000000","    -2.904000000","     1.931000000","     0.103000000","     0.367000000","     0.540000000","     1.690000000","    -0.880000000","    -0.050000000","    -1.110000000","    -0.070000000","     1.350000000","    -1.620000000","     0.720000000","    -1.240000000","     0.230000000","    -0.490000000","    -2.860000000","     0.020000000","     1.520000000","     1.550000000","     0.870000000","    -0.860000000","120754.562120415","118115.677032365","116587.277593627","115189.380256327","114711.068170888","114536.839740811","114788.540741473","117629.036681835","118461.731448429","     8.392972151","    20.639950845","    30.169118245","    47.145228601","    36.302224682","    33.350339515","     6.710575713","    -9.015581052","    -8.732699394","    -0.835238592","    -0.493770542","    -0.250271912","    -0.872440863","     1.172207787","    -0.282294789","    -2.766446913","    -0.806033957","     1.566469573","    -0.592170324","    -0.321519152","    -0.211189085","    -0.701504378","    -0.934057172","    -0.573953220","    -1.629976551","    -0.534798816","    -0.357958217","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.160000000","    -0.170000000","    -0.170000000"
"1987"," 14683.525000000"," 14935.697000000"," 14946.505000000"," 14942.624000000"," 14990.783000000"," 14977.566000000"," 14940.071000000"," 14904.831000000"," 14851.267000000","    -0.036000000","     0.111000000","    -0.120000000","    -0.205000000","    -0.015000000","     0.121000000","    -0.037000000","    -0.081000000","     0.244000000","     0.577900000","     1.212400000","     1.795100000","     1.779200000","     1.695800000","     1.702200000","     1.549500000","     1.645500000","     1.317000000","     0.285152000","     0.760336000","     0.865923000","     0.710714000","     1.067870000","     1.011900000","     1.079810000","     1.006780000","     1.124690000","     2.169203000","     8.702786000","    19.498220000","    26.101820000","    30.357240000","    29.266790000","    27.639410000","    19.146110000","    10.006110000","    -1.340000000","     2.270000000","     3.410000000","     3.420000000","    -2.120000000","    -0.240000000","     0.290000000","     2.590000000","    -0.810000000","     0.657684400","     0.550896600","    -0.162393600","     0.405454300","     1.302342000","    -0.675577800","     0.416558500","     1.224916000","     1.581070000","    -2.040000000","    -1.690000000","     0.150000000","     0.490000000","     0.180000000","    -0.520000000","     1.030000000","     0.660000000","    -1.400000000","    -0.023000000","     1.425000000","     0.926000000","     0.060000000","    -1.148000000","    -1.473000000","    -1.746000000","     0.387000000","     0.325000000","     1.960000000","     1.190000000","    -0.050000000","     1.420000000","     0.820000000","    -0.030000000","     0.480000000","     1.850000000","    -0.180000000","     1.000000000","     0.730000000","    -0.300000000","    -0.060000000","     0.170000000","     0.200000000","     0.210000000","    -1.110000000","    -0.450000000","120529.291365702","118356.544716488","116193.122230249","115277.367396273","115438.258090933","115107.389892428","115715.669468400","117226.663842343","118775.835961201","     7.314317147","    22.224166747","    38.114555613","    39.895499999","    13.984184582","    -6.451071501","    13.597923310","     6.638972235","    -4.175253154","     1.124079272","    -0.130226354","    -1.370999922","    -0.134249455","     0.809392481","    -2.298681460","     0.948052521","     1.231122268","     0.231317295","     0.275138652","    -0.034853901","    -0.203003158","    -0.332652543","    -0.691373433","    -0.644732314","     0.786116096","     1.318639917","    -0.790668811","    -0.180000000","    -0.180000000","    -0.180000000","    -0.180000000","    -0.180000000","    -0.190000000","    -0.190000000","    -0.190000000","    -0.190000000"
"1988"," 14639.535000000"," 14862.308000000"," 14919.402000000"," 15021.319000000"," 14921.660000000"," 14896.212000000"," 14811.340000000"," 14871.045000000"," 14707.995000000","     0.499000000","     0.414000000","     0.072000000","     0.222000000","     0.418000000","    -0.074000000","    -0.212000000","    -0.053000000","    -0.434000000","     1.602800000","     1.014400000","     1.286400000","     0.816900000","     0.524200000","     0.847900000","     0.996100000","     0.842100000","     0.725000000","     1.607180000","     1.223480000","     1.140130000","     1.043990000","     0.543444000","     0.125122000","     0.129984000","    -0.691706000","    -1.252580000","     1.758899000","     6.961331000","    20.593540000","    26.347560000","    29.165560000","    28.342940000","    25.249350000","    16.578740000","     9.772907000","     1.270000000","    -0.800000000","    -0.670000000","    -0.810000000","     0.530000000","    -0.110000000","     0.780000000","    -2.390000000","    -1.240000000","    -1.333493000","     0.320068800","     1.112983000","    -0.512094700","    -1.362240000","     0.094554690","    -0.584315200","    -0.862296200","     0.022432780","    -1.010000000","     1.400000000","     0.360000000","    -1.380000000","     0.720000000","     0.600000000","     0.490000000","    -0.960000000","     0.850000000","     0.287000000","    -0.080000000","    -0.536000000","    -0.534000000","     0.265000000","    -1.066000000","    -0.197000000","    -0.561000000","    -0.846000000","     1.700000000","    -2.460000000","     0.170000000","     1.220000000","    -1.090000000","    -1.440000000","    -2.230000000","     0.390000000","    -1.030000000","    -1.260000000","     0.780000000","     0.160000000","    -1.260000000","     0.660000000","    -1.070000000","     0.890000000","     0.810000000","    -2.310000000","120550.489365510","117867.574078007","117366.170066544","116554.911685918","114975.646446736","115164.179751978","115638.870762738","117849.925882674","118749.754385895","     9.380171363","    19.038107257","    21.649791590","     5.574054617","    41.370522038","    51.853354684","     8.524180118","    -3.126203690","    -7.862771050","     0.940791659","     0.139624475","    -1.575297350","     1.804543718","     1.281188427","    -0.338996928","    -3.604785742","     1.710527237","    -1.700379418","     0.660552106","     0.053550306","    -0.827387643","     0.792142660","    -0.627201696","    -0.080146189","    -2.184187591","     0.747179649","     1.345940248","    -0.190000000","    -0.190000000","    -0.190000000","    -0.190000000","    -0.180000000","    -0.180000000","    -0.180000000","    -0.180000000","    -0.180000000"
"1989"," 14662.332000000"," 14668.390000000"," 14884.604500000"," 14895.588000000"," 14854.979500000"," 14830.336000000"," 14727.469000000"," 14685.063000000"," 14752.865000000","    -0.288000000","    -0.365000000","    -0.060000000","     0.226000000","    -0.215000000","     0.035000000","    -0.219000000","    -0.405000000","    -0.515000000","    -0.550800000","     0.094700000","     0.140400000","    -0.002900000","    -0.852800000","    -0.852900000","    -0.765800000","     0.230800000","     0.455200000","    -1.435990000","    -1.867810000","    -1.846220000","    -1.772150000","    -1.345010000","    -0.732309000","    -0.998056000","    -0.808346000","    -0.727209000","     0.919794000","     5.577968000","    18.270170000","    25.617520000","    29.164100000","    26.800790000","    22.733790000","    16.576120000","     9.108149000","     0.800000000","    -2.020000000","    -1.470000000","     1.850000000","     3.530000000","     3.610000000","     2.450000000","    -0.480000000","     1.160000000","    -0.602081500","     0.013100120","     0.625494600","     1.077244000","     1.469822000","    -0.045900450","    -0.439566200","    -0.348245000","     1.791420000","    -1.080000000","     0.100000000","    -1.750000000","    -1.980000000","    -0.310000000","    -1.140000000","    -0.620000000","     1.960000000","    -1.850000000","     1.039000000","     0.032000000","    -0.035000000","     1.679000000","     3.106000000","     3.279000000","     1.530000000","    -0.250000000","     0.889000000","     0.390000000","     0.190000000","     1.190000000","     0.750000000","     1.140000000","    -0.230000000","    -0.280000000","    -1.110000000","    -0.040000000","     1.330000000","     1.840000000","    -0.490000000","     0.800000000","     0.800000000","     1.430000000","     0.150000000","     0.220000000","    -0.190000000","120696.887532616","118208.277386700","117277.666388209","115762.131639422","114404.146149463","114443.876710137","115884.421743676","116573.763394542","118414.207122442","     9.066171273","    21.354614627","    31.682588132","    46.045788550","    57.529081406","    19.982487615","    -1.148727605","     0.203979152","    -5.140891567","    -3.342071897","     0.829364835","    -0.452992276","    -0.907673557","     3.439808792","     1.497796578","    -1.220757187","    -1.819485289","    -1.081369104","    -1.784124097","     0.683809031","    -0.343535747","    -0.700815347","    -1.897220688","     0.592710173","    -0.437717412","    -1.259500744","     0.889559826","    -0.190000000","    -0.190000000","    -0.190000000","    -0.190000000","    -0.200000000","    -0.200000000","    -0.200000000","    -0.200000000","    -0.200000000"
"1990"," 14672.704000000"," 14764.721000000"," 14925.926000000"," 14887.279000000"," 14913.497000000"," 15057.162000000"," 14930.244000000"," 14774.929000000"," 14744.043000000","    -0.119000000","    -0.253000000","    -0.215000000","    -0.097000000","    -0.033000000","    -0.209000000","    -0.043000000","    -0.310000000","    -0.269000000","    -0.024300000","    -0.201100000","    -0.387400000","     0.193400000","    -0.056300000","    -0.773300000","    -0.583400000","     0.242300000","     0.106900000","    -0.348919000","    -0.370502000","    -0.350698000","    -0.389235000","    -0.244316000","     0.181551000","    -0.081617400","     0.198574000","     0.294172000","     1.929523000","     9.052363000","    19.290210000","    27.381260000","    28.811940000","    26.868370000","    22.072860000","    15.436090000","     8.092292000","    -0.960000000","     0.880000000","    -2.970000000","    -2.230000000","     3.500000000","     5.110000000","     3.110000000","     1.770000000","    -1.190000000","     1.443510000","     0.119147400","     0.400741200","    -0.935843300","    -0.387192500","    -1.462453000","     1.244053000","     1.449342000","     1.057214000","     0.590000000","    -0.650000000","     0.890000000","    -1.580000000","     0.160000000","    -1.680000000","    -1.970000000","    -0.720000000","     0.740000000","     0.703000000","     0.991000000","     0.034000000","    -0.644000000","     1.001000000","     3.402000000","     2.990000000","     1.879000000","     0.943000000","    -1.120000000","     0.990000000","     0.550000000","     0.070000000","     0.180000000","    -0.140000000","    -0.030000000","    -1.110000000","     2.250000000","     0.780000000","     0.780000000","     1.890000000","    -0.470000000","    -2.160000000","    -0.670000000","     0.810000000","     0.980000000","     2.230000000","120294.932790443","118768.816287601","116465.615766423","115511.530086439","114880.233740383","114875.730192448","116300.617946576","116879.486444667","119985.315130485","     8.519064752","    17.332627727","    26.033101908","    41.993897961","    44.148297464","    20.826758436","    22.335486258","     9.245421171","    -3.325394264","     0.017274531","     1.575361287","     1.080617850","    -2.046825738","     0.949213164","     1.169549934","     0.612844277","    -1.057014975","    -1.612776956","     0.384984036","     1.095352262","     0.824273194","    -0.814745881","    -0.852318269","    -0.028726389","    -0.156251284","    -0.767560243","     1.511782718","    -0.200000000","    -0.200000000","    -0.200000000","    -0.200000000","    -0.200000000","    -0.200000000","    -0.190000000","    -0.190000000","    -0.190000000"
