Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,-1.288029766648627,-1.7801086414968526,1.9040992841353424,-6.213414271839779,-2.5685361383813423,-2.267884992629958,-3.6438718393854392,-5.425365340301748,-7.004584815988761,0.4370005355296195,-0.5720190721747036,-10.91962628626031
1981,-1.0899489584500672,-1.7556954774358378,-2.1568386845714183,-2.032313692344235,-7.13663029782303,-6.857197520347835,-2.8967325316822112,-4.250557347441032,-4.5763478832008975,-2.3154890182577663,1.6548971668265686,-1.9976451129838282
1982,-6.132564213344277,1.7918295771688613,0.3520828946153993,-3.4627130304176053,-4.351407528830598,-7.3740082005077845,-5.925674624263516,-0.15004485240746512,-4.65544310093449,-3.1977479763724093,1.4421758884236746,-4.699179541810938
1983,0.749411115261013,-3.110095072600114,-2.7600054684582056,2.9311866794136248,-3.4056937643725593,-3.839839784383501,-1.2160634725850834,0.3992504791956449,-1.528354008667444,-0.5584196708620868,-3.384682784494528,-5.1485229535881105
1984,-1.6754454850554146,-1.130849169458936,-7.711339383828146,-5.433173744120601,-2.094995655632082,-4.061308316591376,-0.4141270906758102,5.488287454466862,-3.502876001802615,-6.772391870397781,2.9541732194232475,0.345954587913303
1985,-2.9740754258131745,0.0842352204131058,-2.059300711702311,-6.393415121130504,-0.10243134941798751,-7.347085698804944,0.3711491908109111,-5.32152865410546,0.12013009895301714,-1.0260102176349117,-3.0000754735805626,-5.709995094933924
1986,-5.434980132797519,-6.774868825688904,-3.7266611435805213,1.6198548857462827,-6.35108748613737,-3.9359058142983727,-5.315497173397738,-5.5326220985874075,-3.6291172670265706,-2.8092836603906983,2.410724291993197,1.3664048756245868
1987,-3.749101190682461,-2.9146795268064376,-1.231290160942146,-2.23171497725098,-1.3542118769124596,-7.610185736941838,-4.229662040139549,-1.7861941587577737,-6.076479106103392,2.078795178552617,-1.3419918672620892,-5.536315254493468
1988,-2.238909642354935,-0.853957563464415,-1.9518494553217256,-8.135740423598131,-2.299241162086514,-6.078793720747809,2.6817310904146163,-4.357022609926192,-5.550275376331166,-0.28284505917485864,-5.153608350646445,-3.253091899061577
1989,2.187834789351545,3.3434488135887657,-2.670083811622175,-0.2154003404247599,-7.291803565483473,-6.378019989597262,-6.291669455393871,-3.9781466812909687,-7.0091370379859566,-5.147212687099505,0.08141401139443273,-3.823764678458875
