Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979,-9.570178469643482,-5.839182213451033,-6.507753555107521,-1.6188625674565262,-3.766125887735926,5.859779902931641,-0.6829062898403575,-2.7733548006022537,-3.42243802985233,-2.833575733768184,-13.111934140600091,-7.4447007577899305
1980,-5.388133395249701,-6.151463552313314,-7.699353062618215,-7.855640914792857,-7.890527720249624,0.0744695295929813,4.094278948271355,6.96733947804767,-1.7062819928759232,-10.019014362203336,-5.713506835562987,-8.683727624876104
1981,-5.205364848050701,-8.264092363853102,-3.0417540034381516,-0.694820094683506,0.19172727048882054,-5.282617076307542,-0.036164322566295495,-5.853347237255779,-2.7448244425856085,-12.009877066936061,-9.196460950076363,-10.87950091064611
1982,-3.2776326057359833,1.0237941341053705,-5.36215994718742,-7.433593364762562,-5.18582690593016,-1.5890448879530767,-0.679565541062177,0.42012594647791107,-5.112476786583281,-5.2039940674946195,-7.588567465078242,-9.544800532429637
1983,-3.964215060853796,-3.4549783011399247,-3.2611303917874985,-10.01114272282517,-0.6368375022916485,-6.2241525392150505,-3.7567760985790044,2.6756316196772465,2.819596702424327,-2.926174861214458,-1.6231923045254548,-3.2715860626296096
1984,-8.700534770583916,-12.41677631917601,-10.22917712372763,-2.3558605664541235,-2.447623607469929,0.015042728674261631,1.9052217478752147,1.1107844957985142,-0.49960561842134543,-4.898219741333895,-4.340218358421035,-9.653018054257496
1985,-4.975031531423045,-4.7291768798865235,-9.963131358450283,-3.441502799597049,-1.4028679360444254,1.1248084202380635,1.6181765574992604,0.10078084288069017,-3.9189430542828108,-0.563620811605219,-5.538943719415859,-4.761256331897084
1986,-7.996688828231725,-2.3795275350485383,-8.137428174173998,-9.742995476799491,-0.7468560866037266,2.729222399051465,6.978754237781826,3.7501269844778107,2.3223389378566015,-1.2339637580769998,-10.321014899456694,0.0017488781507948989
1987,-3.6060115323414834,-5.671473352625617,-11.148958022474979,-1.9870817648436532,-7.805224807874823,-4.285908687179559,-4.654096519791898,0.25011703781809297,-0.7516204403279143,-10.016488370852114,-6.809796511429393,-5.058333412420853
1988,-9.49324043179564,-9.22589072192489,-12.932853476482444,-6.130116258703022,-2.2412694364370283,-4.842408203843458,-0.8175728274754336,0.7153880381931633,0.7178122020460589,-4.2008265095849575,-2.054114059154599,-2.2399338391441086
1989,-1.6482702221460646,-4.052824408089026,-11.855788195147152,-3.0062315141306994,-4.118427965931702,-6.088497872333357,-4.3880229319223565,0.16083401916197695,-4.0404512519699,-3.3819152418389486,-6.7235027668646685,-1.421933562704407
1990,-4.811757432190114,-6.328339869707032,1.3987334115617296,-8.122001110302197,1.5472040946939805,-2.336711231984223,0.3040034350856746,1.3021480047886949,-0.40027008034086387,1.4283277151919844,-3.999485130790293,-7.778874394935174
1991,1.407130443195296,-6.670251658705691,-3.315882403461701,-10.29838230515965,-6.825111041666323,-3.452689862092981,3.2234131972441356,5.062607379755024,-1.5078679058063449,-9.296387812312028,-9.234643633180083,-4.289269082836681
1992,0.9545330672472185,-6.123996861424987,-8.635851416229691,-5.997369412640004,-0.4815767994831868,3.834053198940364,1.8811898868126988,3.4040496251062025,-5.819822727738119,0.4000575249996884,-9.750179298183657,-7.429268783915099
1993,-2.514986795304942,-1.0017224515688588,-1.1810768620032444,-5.127812871484095,-3.123477268860055,-3.26323136284057,-1.1134190858188049,2.1335687452858005,2.575995197218987,-3.268118905762502,-8.150749798335498,-7.337842045992117
1994,-9.06088695453211,1.4651644556274162,-6.495679938791124,-5.602077716493704,-4.588289383995831,-1.6301876343976165,2.8581532089203545,-0.07939365580927922,-2.329948071618399,-6.19507872183326,-2.7693090710662114,-4.5476918541885505
1995,-12.308602348220639,-3.9041922537493345,-11.908143339997293,-13.426557371935019,-6.6748376899850115,1.383268868298885,-1.8939563412872673,2.015360610339317,-5.277975470883472,-2.846751867347833,-6.2001535381151625,-1.4876801105993778
1996,-8.631652733410819,-6.097386705710977,-9.35081568240188,-2.7790145189443414,-1.4870411701550161,-2.815027798033556,1.8862456336122224,2.156633312866634,-1.4637656540088668,-4.9089073249694515,-13.947941231100039,-7.979960180678985
1997,2.3384670976544246,-3.6529251491578676,-4.532702842037408,-2.6268927008770557,-2.909132442323633,-2.341665771108503,5.402057192662091,1.3035564215237712,-5.58953117969793,-6.920310746988489,-8.086208771770863,-3.5104900115770743
1998,-7.115545243689355,3.461286564088879,-8.07164588446414,-0.8274331708555657,-4.711044248958957,-3.0132335972335698,1.1713171604048929,4.355306359623811,-3.1723528991414285,-4.822984516524807,-3.2310587769712398,-7.147634235902894
1999,-4.451487552932962,-6.656795574387323,-7.525176576048309,-4.337336930985429,0.014102696099566213,-1.0837863068226017,1.3493083725710653,-0.23319413463502367,-1.5668209237837012,-8.556942737288237,-6.623022842639373,-6.462824530358944
2000,-2.464746466757003,-4.271939059463576,-5.67252121564839,-8.230019156171943,-2.254282751605338,-1.3290178687720862,-0.9187307987805756,5.214251446663976,0.42332971053745116,-7.5971379361322136,-11.190849145898698,-6.515087293877068
2001,-7.127349865899451,-6.995028178224585,-6.330668424230007,-8.883525543724826,-4.520806770726198,5.624485929991202,5.633908890784988,5.240063891351715,-4.073559192931595,-0.849228176703349,-4.091686055975542,-8.300615380204936
2002,-2.4141265559421345,-6.693621795031226,-1.5275320198051319,-6.11113967786821,2.194151182782721,2.1005219655011294,3.631088875122041,5.255055104700199,-1.962088908406547,-4.472428125024225,-4.624109841616486,-1.3810075808995013
2003,-2.8326315106704962,-2.55822068374988,-1.8119929021412142,-7.801977550570595,-5.563014429495884,0.07856770530668607,3.5712749146158282,-4.877874294296991,-3.818407417558479,-7.6899501732788105,-6.19888375148786,-5.035935700048823
2004,-8.890568010479258,-7.046764379352247,-5.798133273252521,-2.216116074012659,-8.985073353267854,0.10300207505747351,-1.0169774804824092,0.7233902998123648,-2.0740179485781716,-2.869389386982478,-4.084031742287563,-5.1305202927824505
2005,-4.416347551299332,-6.349429506866771,-3.066492817305589,-6.059493127474185,-5.314880528184093,-2.5320354185153207,1.1726403755870431,-0.5212767518308474,-3.0070670462981326,-9.857090844876398,-11.919902169018059,-5.609896233249916
2006,-3.8607672890510676,-7.912261937091196,-5.907884385608008,-6.677632268345294,-4.180909958924066,-2.128305594374825,3.2551715563708012,-0.4218421133922844,-1.896836551679614,-4.391445625272215,-7.284338377382461,-2.9674431777934993
2007,-2.7137190089866987,-1.2236710803478519,-7.139741623474756,-3.847617587041268,-2.6630008069166564,1.39071054407173,-1.2413144052618683,0.6008162907043674,-2.099250350677155,-9.660783849969933,-5.998218250156166,-6.058794484296401
2008,-9.75191939527121,-3.0759266913031547,-4.8304791902521655,-5.0600255471385935,-2.290359305494794,5.253277424067893,-1.0737413952621144,0.3267820301099542,-1.5442922446237766,-6.336240396067282,-7.670471995090876,-13.317373396751659
2009,-3.8267259742556274,-9.051790746253744,-7.74931272288499,1.175564996960903,-4.024329837833106,0.7748850518584341,1.9705624773830774,1.886188888590109,-3.956141975423985,-5.992763817415714,-11.567108335530493,-3.8981983694580653
2010,-8.299781435525917,-5.477091729522761,-4.882991761738868,-7.076755467945917,-3.510912931128277,1.3337173584868682,2.486420953085343,-1.9631958009212171,-3.325064711529145,-7.111706529375288,-5.712065386450192,-8.91691640487858
2011,-6.574234309867896,-4.616757266600744,-4.276393851083186,-3.3042820630652128,-2.492337060115744,-0.7758394938780102,2.4744142384202283,3.458201782875341,-5.669827327840541,-4.892065362201427,-1.7860958941244176,-8.542183452065721
2012,-11.18020092661109,-10.681590352070256,-4.343114745566175,-10.319399047931238,-3.2222195999154324,-5.079173084940416,0.20122986881106034,-3.734407093973242,0.25490028318732644,-7.402561402515828,-5.3959735431446365,-8.116047574777067
2013,-2.4654920650113916,-7.655939103920818,-5.274922685334677,-6.377256329794444,-0.04901417413037489,-0.5334590788432886,-1.035926510368057,0.3165148297950301,-4.902034442737887,-1.3087826153968916,-8.303868606210973,-1.9738042241684048
2014,-3.8339968913567657,-3.6739093804574208,-3.363083141483174,2.613453868136874,-4.536240352663336,0.7609543950498754,4.5635645291347995,-1.9782680915428008,-0.9487411546340785,-1.6174948450802693,-6.712308395115234,-4.310774059725437
2015,-2.5253205369346863,-6.379951935092438,-9.896013183078804,-5.329905024916314,-5.888618911747317,-5.146673272828068,5.301744869546214,7.002656826481117,-2.066464180602701,0.19675699289553605,-4.23222302641039,-2.579032025472396
2016,-9.73633346825893,-11.226656161941532,-5.336490452501114,-9.28553792177146,-5.6098228320687555,-1.232494924712648,0.7429551482673694,-4.838245797461091,-0.16882351722394687,-5.072273872701295,-5.613125315433242,-1.3289857560022842
2017,-3.4548654899154188,1.0104592207658862,-4.351714121635522,-5.322529379884965,-1.8958252566610267,3.527309092292645,3.1123660252891314,-0.4728270522726086,-3.878500472394803,-4.753669354397444,-10.088954912090061,-11.83334241847107
2018,-11.378237824579438,-9.184929970214233,-1.4247457966715606,-2.292769099634661,1.0740295751449647,3.1186689242323857,-2.163837946518548,3.6046249977113667,-3.638228340977668,0.6632829268380923,-5.845446021596253,-11.653627187776582
2019,-3.8544388836225365,-4.884457853301823,-4.777497922563671,-4.3101884870377525,-5.130216021973104,3.9579400691849065,1.896168179702836,2.008205260610343,1.0100470688553462,-5.459577897175612,-8.384723605369532,-9.11807808030811
