Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,41.75273349197121,37.929415837261935,43.50952126617206,38.018845508325924,31.304503599414943,31.874661585649363,26.556052197195402,25.487771224771457,36.480196042577276,40.80186972424467,36.34513235029566,40.84368121418211
1981,43.990998617094036,46.44705531902754,32.00684969097034,29.053881238554414,29.89686987124289,30.59439569023262,14.25709866715615,31.35024958567978,38.9813595468892,47.56265758282537,51.69951977083772,44.43180930425678
1982,39.71606378515219,33.42820823771625,39.32275439323588,28.06066953663028,29.64787446627456,31.440525965728742,27.986663271323305,21.351643581094873,36.43319267364092,32.31218418010392,31.035614656384265,34.7435208680535
1983,29.984907312187204,33.500941482588196,30.024728441293483,34.633008290214335,31.509320492506834,38.689425510346275,33.052952721970605,20.048821334064844,35.62121661298722,43.16166306197083,34.826770167091716,36.95902539190977
1984,47.501771442808966,58.12599478717078,41.37108958193414,36.95791110123912,30.73901876140339,33.39440970213827,27.7814391224011,22.450371271010628,34.66060775149664,42.757980793796655,42.47598887046027,46.974698614576646
1985,38.6209725387501,42.620690939907554,41.262460230201455,30.885508574866495,31.896309602362386,34.57719007386079,26.042955647491624,24.26098877164904,34.550389500025005,37.94269152722664,36.52340339372883,39.02823193927846
1986,44.897119064036275,35.072511469112946,34.05082705054432,39.66629368776218,31.845062097923307,30.113093567467264,23.193690590878756,25.22440803058591,30.993954097055887,36.217384063852926,42.821777213063015,36.508230368457696
1987,39.97973129908529,42.19270376942264,41.636511157103854,30.51035238088896,35.27011156009477,35.089513951531416,28.390544276050232,29.250755910352183,31.421889295462424,34.41509881252581,46.700863101022726,36.68097225402022
1988,44.00086056915621,44.43734356354305,41.374147025456445,34.7185531255201,39.91796322935619,32.51686607687804,22.672627596882396,20.77913490688531,35.165762476191034,49.86129169621223,41.697526944854424,40.10791249965998
1989,39.26973828324194,39.01360635268926,42.583090485919506,31.358139893361017,32.99167177025368,34.80823482022095,24.85903342469532,22.14059788985338,37.314176943660776,43.52581316065276,37.14190224316534,28.934114429939253
1990,42.1325342048774,30.95533227907886,27.612181218258453,34.02399517241016,30.597411625951068,32.20748886149067,20.78692950981733,26.2040593580949,34.72829528729692,31.582551943389277,38.025838106936106,38.18687032595145
1991,37.95484217616182,43.0536877584207,35.710901447043696,38.33791106172843,33.278738372509736,31.853873456540875,25.947017001215368,15.671201923349406,35.33827320996232,40.26652692335207,38.00755396484727,34.97319041670973
1992,25.717863444074798,33.16393813474468,34.69049320903294,32.31270523903186,28.443936978374527,31.578803250075715,21.74872686053036,24.962114848731776,37.56973015326499,33.57521109335758,31.796741226045196,33.33430340190612
1993,37.01003281996027,34.80863929882922,31.94485736445954,37.34717410507769,34.2353895799122,32.740643849935445,27.01524246363075,31.326254436269572,31.52326645673666,35.582854845757446,35.925394782877554,42.94178257089976
1994,45.075662870664836,39.6033984140186,34.748788408446465,31.142385504355353,35.92536292936746,28.326091809774674,14.378440016051945,21.50839245840529,35.99488046449719,34.669320981980135,33.94235928232091,42.15432312959418
1995,45.357256475818396,32.59695932338153,38.75078830551765,39.57061213967866,40.42196203221186,32.66519767362669,22.636555548465978,23.42095021773322,28.187204541467345,39.780827204187325,41.693574018425245,36.54300001669639
1996,43.56554763888553,40.302866808623456,39.05316098514846,37.239819265300476,32.8169177159109,33.04812775481647,20.11574300178024,17.473688397247496,37.14644228334204,42.586602446271954,49.095548775088375,42.221814657145224
1997,32.788824531906336,43.36674500399199,30.8951304612648,24.43246793190411,30.40408371033633,24.8070847292243,16.448939033488944,18.870290420384777,33.43254416473935,34.25329676793517,34.377271017568134,36.48930359954871
1998,42.293057397066505,26.702529509580323,36.23001192883639,23.781328057964163,33.191925637870824,30.173961031343143,24.418521360057564,27.47108692300106,27.105591446758535,39.248371541855924,44.05481483423767,42.95310572103672
1999,52.21516958536913,44.741511900421514,50.697393457448825,39.74844445836175,28.698342056080243,34.65633562398457,15.851226954576168,14.345178718026778,30.862553504945396,43.60098956594039,39.64675611399441,37.82623158020822
2000,41.55260938645587,43.516756930177664,41.05807305061461,37.32823667166498,31.335381247574656,25.13503552127368,13.766321548722773,22.960260977535786,28.6319067286846,43.69980808094235,44.48444576242269,46.5414433517571
2001,46.646281764465684,50.2869840077263,36.843341586383595,31.900601089607438,34.042136832654464,26.743707126404026,21.743544000456893,20.537004262752312,33.08778383642295,37.44197892768411,34.25719485153026,45.52355525679671
2002,36.40716222214242,44.63026941215349,33.593885783902294,34.5832708275629,28.49234008755213,25.85730418997343,15.13524075275055,18.384425618681277,27.799953585640882,35.364518119351935,42.84042489081762,34.87415676929635
2003,35.53025157678884,37.15334479554194,37.22105448117327,33.33235291293647,34.02254001200108,26.36345623704869,28.00005052231653,33.65553250880847,32.79671654897436,39.154375229596376,41.486667793539,44.414965049951704
2004,36.85269034931492,39.944379823538924,45.254469599335664,24.861521403950114,30.0560620921332,24.97412340706068,17.992287750021983,23.568821414547863,35.20412655537758,34.788260603595546,30.527076106554038,34.14514961399273
2005,40.28465987841588,40.41018035719272,32.10159881939678,32.87866357799193,34.77256504551623,32.46772616139457,21.217818599217917,20.32143018552613,33.18406750217402,38.84148174220914,44.25914929973767,51.77375222169454
2006,49.57886172329945,41.994705469688604,40.47293423074837,36.99445412760754,32.4203939279415,32.04430434450251,20.829907943399675,20.10997735249771,30.45971008509236,33.508538596156995,33.445040925686826,34.79891406392053
2007,35.74190708948583,29.87765861355176,42.05603400026004,31.227381685612443,33.23912050961958,24.18908480023099,23.122875204305174,18.075389871782306,25.74542799492499,41.31972937013297,39.501738448669165,45.12893684406883
2008,47.62744347371594,45.63089109642925,32.325410900214855,32.99925902169573,35.573470847946105,25.07671956260743,19.04750743765591,21.82698319224774,32.137237692452516,41.55175561843626,36.914086769120054,42.242187452529016
2009,39.85210804468504,56.17368262228384,41.58907091752819,29.128006785722626,34.39449777968915,34.26402664188906,29.48064404042031,27.966653826047107,33.31443694056836,43.28348569328996,40.7239894937179,37.74677061055341
2010,48.07850629056411,40.16747215829609,38.99722978475169,39.82318992484125,34.3077801672691,20.71240423054986,18.617899014731535,22.507658780372292,27.276216819958737,36.56353793991139,35.339944420611374,45.448747154754244
