Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979,30.08121022255304,19.716503328009157,29.58987773984415,31.664746587060254,34.066917322857776,29.17481015117426,28.846880150821036,29.93568308565244,32.037637265331945,24.60713264810301,33.02018098132542,25.152347579894055
1980,28.37720252993294,27.933695661873717,30.80768056101992,28.877997666556894,22.94096297972102,33.01239135200314,30.53167443387505,32.62238678462172,37.8897914369723,25.700653589044293,27.541149735210094,30.755132686977106
1981,26.978686830055583,32.9937547319534,21.567348442577266,21.058270868305918,23.017223371182435,30.8613573673862,30.77319057811372,36.792355854705995,38.25010429064683,38.32585095133963,31.43006780556457,27.94144434038175
1982,29.35946983702154,24.92390770487801,28.37103767964863,21.672037219599748,20.422277984207497,27.840681432554817,35.40678841113513,33.51185404380012,36.49252894570462,22.57757371739277,26.48105312368688,24.171521353951572
1983,18.689155009782755,20.824838906841862,22.93888714050409,25.561440797148812,27.47810731456488,28.627563564082056,34.670826160471215,27.704432513653636,40.82373645706813,28.875462523505064,20.496056536977658,27.39746174220641
1984,27.708641336889777,35.92710090311322,31.555959598854702,30.868331242320956,29.116103641485154,32.08551698437862,30.264524475235262,25.508476320649528,36.48421537742992,36.41286886319418,30.35467572025302,38.28600244264987
1985,23.80994035861881,34.45608064879865,36.076831231370754,24.062419342641395,27.134031351625882,32.422909338784855,29.67991264511623,36.61481731101318,37.14201715368673,34.495221040330264,25.51136734938058,30.182849378509722
1986,28.90117558878406,26.14627964548239,26.818075041217504,26.790678545620988,20.31243493048611,32.340416159758135,25.939193708601866,33.00631694672714,30.26397810533443,21.439685822696653,30.58224762884604,24.746273524377514
1987,27.83513874871898,27.945186271092123,33.32592785254517,23.50336496095905,25.53075284030598,35.459309308923665,33.481449878582396,33.34603580968639,33.67910640596316,29.56221113365523,37.23532885088922,34.336858228787456
1988,31.46534804204525,33.48432889207942,30.557702091291084,26.287689775189012,29.463218239460527,32.60762883070325,32.14326962315956,34.2471121203267,35.70630628892835,34.777983212882475,22.61467068149806,27.70609031523782
1989,32.04667076374143,27.70778729199104,27.715409684430227,25.437291835995172,29.263201329800037,36.69336611419019,32.28266251811465,31.416269584294213,42.15495386584095,29.57406481284522,27.110074018565083,21.275472691736752
1990,37.58789768589908,25.847471199540326,18.74705269470009,25.715521854083647,24.15692094861593,30.95570157445471,32.43689472382346,34.498609437395785,33.2473990208221,23.746185894281314,29.46745520640614,27.971222152940555
1991,25.319434366078944,31.060544324179308,27.288341044830513,23.322914361432233,25.86472498770625,32.78248234408103,32.628204200375826,29.41017454942346,34.329693996659586,28.67147131774505,24.080597320147888,25.275546098942403
