"Liaoning","Jilin","Heilongjiang"
"1981","116.70984","133.16033","146.81099"
"1982","110.52808"," 72.12438"," 83.32745"
"1983","124.73592","130.31771","123.92177"
"1984","164.60286","137.35209","135.22648"
"1985","208.00387","189.63492","160.62664"
"1986","177.00905","157.80344","117.73222"
"1987","139.35692","140.91154","139.99267"
"1988","124.72477","124.83729","126.82696"
"1989","105.60301","106.80064"," 97.14093"
"1990","124.87412","126.97168","124.01833"
"1991","166.70048","126.28335","145.43635"
"1992","100.49759","103.98962","103.62703"
"1993","140.04049","113.48188","126.75801"
"1994","213.02538","174.31548","152.03112"
"1995","186.48555","104.98459"," 80.57615"
"1996","152.81843","108.26792","129.55825"
"1997","128.79942","106.24139","128.35273"
"1998","174.65591","164.55239","151.80992"
"1999","101.83981","106.75042"," 98.31543"
"2000"," 85.74882"," 92.83926"," 91.10979"
"2001","134.82179"," 93.20266"," 81.24399"
"2002","109.50524","125.04528","130.74277"
"2003","128.43360","124.87522","138.54134"
"2004","144.76074"," 95.08398"," 87.61701"
"2005","154.74436","161.04955","128.14191"
"2006","122.81439","118.85665","127.07461"
"2007","115.97677"," 88.24007"," 65.62385"
"2008","137.46444","126.32358"," 86.44738"
"2009"," 99.44269"," 91.64415","145.56211"
"2010","194.67024","125.30773"," 97.64676"
"2011","140.95238"," 93.85636","102.27632"
"2012","179.61826","139.71195","133.05292"
"2013","162.64338","150.72944","155.41454"
"2014"," 93.60541","101.67502","114.61493"
"2015","108.49890"," 96.60477","112.62172"
"2016","157.82859","115.50719"," 97.04184"
