"Liaoning","Jilin","Heilongjiang"
"1981","22.61073","21.62084","20.11407"
"1982","22.96797","22.92326","21.90634"
"1983","22.26246","20.61599","19.13693"
"1984","22.61542","21.94940","20.54990"
"1985","22.32568","21.85647","20.67396"
"1986","21.77447","21.17251","20.37019"
"1987","22.10512","21.54293","20.35389"
"1988","22.82075","22.46270","21.40813"
"1989","21.99621","21.51603","20.55436"
"1990","22.49145","21.85788","20.65835"
"1991","22.50508","21.81218","20.62674"
"1992","21.86153","21.17456","20.08239"
"1993","21.42901","20.81277","19.75256"
"1994","23.98980","23.36921","22.09638"
"1995","22.28389","21.82273","20.77194"
"1996","22.17331","21.68116","20.63822"
"1997","23.97257","23.14314","21.69608"
"1998","22.23162","21.66734","20.60281"
"1999","23.27549","22.61953","21.32693"
"2000","24.13199","23.77096","22.54575"
"2001","23.55469","23.00537","21.80735"
"2002","22.53655","21.75011","20.63639"
"2003","22.07922","21.66053","20.49009"
"2004","22.95152","22.76063","21.62771"
"2005","22.97243","22.33093","21.23899"
"2006","22.62086","22.09314","20.99465"
"2007","23.22391","23.03007","22.05506"
"2008","22.58763","22.66036","21.82790"
"2009","22.23225","21.13285","19.91686"
"2010","23.11454","22.71905","21.79383"
"2011","22.75471","22.61519","21.68076"
"2012","22.72933","22.08487","21.12363"
"2013","23.24794","22.54257","21.32091"
"2014","23.13670","22.57385","21.32630"
"2015","23.06595","22.38471","21.17487"
"2016","23.49464","22.56353","21.19688"
